treatment_a,treatment_b,cooccur_count,confidence_a_to_b,confidence_b_to_a,lift,pmi,jaccard,smoothed_confidence,confidence_gain,final_weight,pair_rule_level
103,104,95,1.0,1.0,792.7894736842105,6.675557705536375,1.0,0.9048820351349728,8.926982271004455,6.0822140155737054,strict_positive
108,109,83,1.0,1.0,907.4096385542168,6.810593989340318,1.0,0.8925916170007117,8.926982271004455,6.031607133183165,strict_positive
11,17,1950,0.4676258992805755,0.8372692142550451,15.122045772570436,2.71615366401752,0.4286656408001759,0.4665811565904858,3.310953687199043,3.436737089913568,strict_positive
11,54,404,0.0968824940047961,0.7100175746924429,12.82373468536243,2.551297726178888,0.093194925028835,0.09666879171276492,2.6431718885420805,2.7918549194434847,strict_positive
11,97,107,0.0256594724220623,1.0,18.06115107913669,2.8937632823440684,0.0256594724220623,0.02560148492757849,2.916014034569291,2.6472905349497666,positive
11,36,469,0.1124700239808153,0.3746006389776358,6.76571873491622,1.911868499130304,0.094690086816071,0.11224072611141658,2.012119096453924,2.3566565576909193,strict_positive
11,41,259,0.0621103117505995,0.29003359462486,5.238340570544684,1.656004763167107,0.0539134054954204,0.06199008820053065,1.7061342837898228,2.0248240654961736,strict_positive
11,51,134,0.0321342925659472,0.231833910034602,4.187187274401932,1.4320292136226025,0.0290420459471174,0.03207577615799924,1.4551039997867794,1.6995260928957925,positive
11,20,234,0.056115107913669,0.1102213848327837,1.9907250836165733,0.6884989359985138,0.0386202343621059,0.05604829731078434,0.7163947112403797,1.2960798139569454,strict_positive
11,25,188,0.045083932853717,0.106154714850367,1.917276342675154,0.6509056073911841,0.0326786024682774,0.04503233151227365,0.6720427326788463,1.2227666799829997,strict_positive
111,123,7,0.0909090909090909,0.1272727272727272,124.48760330578511,4.824206139106074,0.056,0.0805437087603712,4.786388374396175,1.9962431563026233,positive
12,16,2023,0.5611650485436893,0.8318256578947368,17.37834935487992,2.855225141499554,0.5039860488290981,0.5597020499150227,3.6400943829448837,3.629791324304683,strict_positive
12,27,230,0.0638002773925104,0.1348182883939038,2.816598998720352,1.035530128289437,0.0452666797874434,0.06368644959955645,1.0766372594805942,1.5480750149088245,strict_positive
123,145,23,0.4181818181818181,1.0,1369.3636363636365,7.222101411904444,0.4181818181818181,0.3538931360082525,7.491665028154784,4.419540243607743,strict_positive
129,130,43,1.0,1.0,1751.5116279069769,7.4682344814433534,1.0,0.8114284783782328,8.926982271004457,5.66109624535021,strict_positive
13,22,863,0.2467124070897655,0.4323647294589178,9.30919085168622,2.231002175770387,0.1863528395594904,0.24608466939803036,2.4840701993338703,2.7753746235460817,strict_positive
13,27,737,0.210691823899371,0.4320046893317702,9.301438872790817,2.2301691056960804,0.1649876874860085,0.21015579113523278,2.440629247975169,2.727145587066748,strict_positive
13,135,38,0.0108633504859919,1.0,21.530874785591767,3.069487941558368,0.0108633504859919,0.010833821401273905,3.077154270192384,2.3115647206388306,positive
13,14,386,0.1103487707261292,0.1261437908496732,2.7159861657641904,0.9991551160767728,0.0625405055087491,0.11015002667246822,1.072577048959234,1.636882110540353,strict_positive
14,19,2143,0.7003267973856209,1.0,24.612745098039216,3.203264402190489,0.7003267973856209,0.6981382860822765,4.369054306802138,4.0704113456246205,strict_positive
14,59,434,0.1418300653594771,1.0,24.612745098039216,3.203264402190489,0.1418300653594771,0.14138684841796917,3.3467921978798207,3.3099374497532152,strict_positive
14,119,61,0.0199346405228758,1.0,24.612745098039216,3.203264402190489,0.0199346405228758,0.019872345054138523,3.219396719276705,2.629420221106438,positive
143,144,23,1.0,1.0,3274.5652173913045,8.093940381207766,1.0,0.6970622375920126,8.926982271004455,5.1051530079556535,strict_positive
